id,name,type,description,prerequisites,prerequisite_feats,benefit,normal,special,source,fulltext,teamwork,critical,grit,style,performance,racial,companion_familiar,race_name,note,goal,completion_benefit,multiples,suggested_traits,prerequisite_skills,panache,betrayal,targeting,esoteric,stare,weapon_mastery,item_mastery
1165,Stronghold,Story,You seek to build a bastion against which your enemies shall break like water against the rocks.,You must have the Leadership feat and must lead at least 10 combat-capable followers (such as fighters or rangers).,,"You can spend a move action to give battle orders to your troops, granting creatures under your command within 60 feet your choice of a +1 morale bonus on attack rolls, a +1 dodge bonus to AC, or a +1 bonus on a single type of saving throw. All creatures must receive the same benefit. You can't use this benefit on allies not under your command. This is a language-dependent, mind-affecting effect.",,,Ultimate Campaign,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Stronghold (Story)</p><div style=""clear: both;""></div></div><div><h5>You seek to build a bastion against which your enemies shall break like water against the rocks.<h5><b>Prerequisites: </b>You must have the Leadership feat and must lead at least 10 combat-capable followers (such as fighters or rangers).</h5><h5><b>Benefit: </b>You can spend a move action to give battle orders to your troops, granting creatures under your command within 60 feet your choice of a +1 morale bonus on attack rolls, a +1 dodge bonus to AC, or a +1 bonus on a single type of saving throw. All creatures must receive the same benefit. You can't use this benefit on allies not under your command. This is a language-dependent, mind-affecting effect.</h5><h5><b>Goal: </b>Build or capture a stronghold capable of housing a force of at least 200 troops, and staff it with at least 100 combat-capable soldiers (or the equivalent) under your command. You must also provide food and water sufficient to survive at least a 6-month siege and a gold reserve sufficient for at least 6 months of wages if your troops require pay.</h5><h5><b>Completion Benefit: </b>Your battle order bonuses improve to +2, and the range of your orders increases to 120 feet. In addition, you can give two different orders to your troops. For example, you could grant your archers +2 on attack rolls while your front line gains a +2 bonus to AC.</h5></div>",0,0,0,0,0,0,0,,,"Build or capture a stronghold capable of housing a force of at least 200 troops, and staff it with at least 100 combat-capable soldiers (or the equivalent) under your command. You must also provide food and water sufficient to survive at least a 6-month siege and a gold reserve sufficient for at least 6 months of wages if your troops require pay.","Your battle order bonuses improve to +2, and the range of your orders increases to 120 feet. In addition, you can give two different orders to your troops. For example, you could grant your archers +2 on attack rolls while your front line gains a +2 bonus to AC.",0,,,0,0,0,0,0,0,0
1166,Thief Of Legend,Story,"More than just a burglar, you aspire to commit crimes of legendary stature.","You must have stolen at least 1,000 gp worth of treasure without being caught and kept mementos of these thefts worth at least 500 gp, or have the Greed background.",,"Once per day when you attempt a Disable Device check to open a lock or Sleight of Hand check to pick a pocket, you can roll twice and take the better result.",,,Ultimate Campaign,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Thief Of Legend (Story)</p><div style=""clear: both;""></div></div><div><h5>More than just a burglar, you aspire to commit crimes of legendary stature.<h5><b>Prerequisites: </b>You must have stolen at least 1,000 gp worth of treasure without being caught and kept mementos of these thefts worth at least 500 gp, or have the Greed background.</h5><h5><b>Benefit: </b>Once per day when you attempt a Disable Device check to open a lock or Sleight of Hand check to pick a pocket, you can roll twice and take the better result.</h5><h5><b>Goal: </b>Steal a famous and well-guarded treasure worth at least 50,000 gp while leaving no evidence of your involvement behind. The treasure must be protected by a mix of at least 8 traps or challenging foes. Any guardians need not be defeated, merely bypassed. You don't need to keep the treasure, and you can boast of the theft afterward.</h5><h5><b>Completion Benefit: </b>You gain the ability to reactively disarm a trap. When you trigger a trap, you can attempt a Disable Device check with a -5 penalty to interrupt the trap's function, leaving it still armed but effectively preventing it from activating. You can use this ability a number of times per day equal to 3 + your Intelligence modifier. Since the trap is still armed, it might activate again if you don't immediately back away or otherwise avoid repeating the act that set it off the first time.</h5></div>",0,0,0,0,0,0,0,,,"Steal a famous and well-guarded treasure worth at least 50,000 gp while leaving no evidence of your involvement behind. The treasure must be protected by a mix of at least 8 traps or challenging foes. Any guardians need not be defeated, merely bypassed. You don't need to keep the treasure, and you can boast of the theft afterward.","You gain the ability to reactively disarm a trap. When you trigger a trap, you can attempt a Disable Device check with a -5 penalty to interrupt the trap's function, leaving it still armed but effectively preventing it from activating. You can use this ability a number of times per day equal to 3 + your Intelligence modifier. Since the trap is still armed, it might activate again if you don't immediately back away or otherwise avoid repeating the act that set it off the first time.",0,,,0,0,0,0,0,0,0
1167,Town Tamer,Story,"This town needs cleaning up, and you're just the one to do it.","You must have 5 ranks in Intimidate and a personal motivation to clean up a particular town (such as an old friend calling in a favor, or seeking a place to settle down), or you must have the Bounty Hunter or Champion of the People background.",,"Choose a particular settlement. When you're in your chosen settlement, the DC of Intimidate checks made against you increases by 10. You gain a +1 bonus on attack rolls and a +1 dodge bonus to AC against undesirable elements like criminals or ruffians in your chosen settlement. This bonus increases to +2 for combat maneuver checks.",,,Ultimate Campaign,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Town Tamer (Story)</p><div style=""clear: both;""></div></div><div><h5>This town needs cleaning up, and you're just the one to do it.<h5><b>Prerequisites: </b>You must have 5 ranks in Intimidate and a personal motivation to clean up a particular town (such as an old friend calling in a favor, or seeking a place to settle down), or you must have the Bounty Hunter or Champion of the People background.</h5><h5><b>Benefit: </b>Choose a particular settlement. When you're in your chosen settlement, the DC of Intimidate checks made against you increases by 10. You gain a +1 bonus on attack rolls and a +1 dodge bonus to AC against undesirable elements like criminals or ruffians in your chosen settlement. This bonus increases to +2 for combat maneuver checks.</h5><h5><b>Goal: </b>Defeat 10 more troublemakers in your chosen settlement with a CR equal to your character level or higher, and in the process eliminate a serious criminal threat or otherwise clean up the streets.</h5><h5><b>Completion Benefit: </b>You gain the ability to designate a new chosen settlement as often as you wish. You must first live in a settlement for 1 week to make it your chosen settlement. In addition, you gain a +2 bonus on initiative checks and a +1 bonus on saving throws when in your chosen settlement.</h5></div>",0,0,0,0,0,0,0,,,"Defeat 10 more troublemakers in your chosen settlement with a CR equal to your character level or higher, and in the process eliminate a serious criminal threat or otherwise clean up the streets.","You gain the ability to designate a new chosen settlement as often as you wish. You must first live in a settlement for 1 week to make it your chosen settlement. In addition, you gain a +2 bonus on initiative checks and a +1 bonus on saving throws when in your chosen settlement.",0,,Intimidate 5,0,0,0,0,0,0,0
1168,True Love,Story,"You found love, only to have it denied by the cruelty of fate.","You must have found love with a person you can't be with, have a current lover, or have the Current Lover, For Love, or The Lover background. Possible complications include distance, your love being with another, your feelings being unrequited, or your relationship being forbidden.",,"You add 1 to the save DC and caster level of your spells and spell-like abilities with the emotion descriptor. In addition, you gain a +2 bonus on Sense Motive checks. If you have 10 or more ranks in Sense Motive, this bonus increases to +4.",,"At the GM's discretion, you can find true love with a person other than the one you designated when you chose this feat. In this case, the love you initially chose was wrong for you, but this became obvious only when you found the one truly meant for you.",Ultimate Campaign,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">True Love (Story)</p><div style=""clear: both;""></div></div><div><h5>You found love, only to have it denied by the cruelty of fate.<h5><b>Prerequisites: </b>You must have found love with a person you can't be with, have a current lover, or have the Current Lover, For Love, or The Lover background. Possible complications include distance, your love being with another, your feelings being unrequited, or your relationship being forbidden.</h5><h5><b>Benefit: </b>You add 1 to the save DC and caster level of your spells and spell-like abilities with the emotion descriptor. In addition, you gain a +2 bonus on Sense Motive checks. If you have 10 or more ranks in Sense Motive, this bonus increases to +4.</h5><h5><b>Goal: </b>Find a way to be with your true love (even if you can't formally wed).</h5><h5><b>Completion Benefit: </b>The inspiration of knowing your love waits for your return gives you a +2 bonus on attack rolls, saving throws, and skill checks whenever you are below a quarter of your total hit points (not counting any temporary hit points). You lose this completion benefit if your relationship with your true love comes to an end for any reason, including death.</h5><h5><b>Special: </b>At the GM's discretion, you can find true love with a person other than the one you designated when you chose this feat. In this case, the love you initially chose was wrong for you, but this became obvious only when you found the one truly meant for you.</h5></div>",0,0,0,0,0,0,0,,,Find a way to be with your true love (even if you can't formally wed).,"The inspiration of knowing your love waits for your return gives you a +2 bonus on attack rolls, saving throws, and skill checks whenever you are below a quarter of your total hit points (not counting any temporary hit points). You lose this completion benefit if your relationship with your true love comes to an end for any reason, including death.",0,,,0,0,0,0,0,0,0
1169,Unforgotten,Story,"You search for a person dear to you-lost, but you pray not dead.","You must have a close relative, spouse, or other person dear to your heart who never returned from a journey, was captured, or otherwise vanished with little trace, or you have the Major Disaster background.",,"Your dogged determination reduces any nonlethal damage you take by 1 point, to a minimum of 1 point of nonlethal damage. You also gain a +1 bonus on Will saves.",,,Ultimate Campaign,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Unforgotten (Story)</p><div style=""clear: both;""></div></div><div><h5>You search for a person dear to you-lost, but you pray not dead.<h5><b>Prerequisites: </b>You must have a close relative, spouse, or other person dear to your heart who never returned from a journey, was captured, or otherwise vanished with little trace, or you have the Major Disaster background.</h5><h5><b>Benefit: </b>Your dogged determination reduces any nonlethal damage you take by 1 point, to a minimum of 1 point of nonlethal damage. You also gain a +1 bonus on Will saves.</h5><h5><b>Goal: </b>Find your lost loved one alive, and in the process, decisively defeat a challenging foe who kept you apart.</h5><h5><b>Completion Benefit: </b>You gain a +1 bonus on all saving throws, replacing the +1 bonus on Will saves. If you find your loved one dead, you lose all benefits from this feat until you put the body and possibly soul to proper rest. Putting the body to rest restores the completion benefit, but you don't regain the ability to reduce nonlethal damage.</h5></div>",0,0,0,0,0,0,0,,,"Find your lost loved one alive, and in the process, decisively defeat a challenging foe who kept you apart.","You gain a +1 bonus on all saving throws, replacing the +1 bonus on Will saves. If you find your loved one dead, you lose all benefits from this feat until you put the body and possibly soul to proper rest. Putting the body to rest restores the completion benefit, but you don't regain the ability to reduce nonlethal damage.",0,,,0,0,0,0,0,0,0
1170,Vengeance,Story,The need to avenge those you loved drives you to great deeds.,"You must have a close family member or other loved one slain by a specific challenging foe or that foe's minions, or have the Raiders or Vengeance background.",,"You gain a +1 bonus on saving throws, attack rolls, and weapon damage rolls against your chosen foe and known minions of that foe.",,,Ultimate Campaign,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Vengeance (Story)</p><div style=""clear: both;""></div></div><div><h5>The need to avenge those you loved drives you to great deeds.<h5><b>Prerequisites: </b>You must have a close family member or other loved one slain by a specific challenging foe or that foe's minions, or have the Raiders or Vengeance background.</h5><h5><b>Benefit: </b>You gain a +1 bonus on saving throws, attack rolls, and weapon damage rolls against your chosen foe and known minions of that foe.</h5><h5><b>Goal: </b>Thwart your chosen foe.</h5><h5><b>Completion Benefit: </b>You gain a +1 bonus on all saving throws. This bonus stacks with this feats's bonus against your foe and its minions, should they survive.</h5></div>",0,0,0,0,0,0,0,,,Thwart your chosen foe.,"You gain a +1 bonus on all saving throws. This bonus stacks with this feats's bonus against your foe and its minions, should they survive.",0,,,0,0,0,0,0,0,0
1171,Ancient Draconic,General,You empower spells using the ancient language of dragons.,"Arcane caster level 5th, speaks Draconic.",,"You gain a +1 bonus on caster level checks to overcome spell resistance when casting arcane spells that have a verbal component. If you speak Draconic when casting an arcane language-dependent spell, all intelligent creatures with a language can understand your words.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Ancient Draconic</p><div style=""clear: both;""></div></div><div><h5>You empower spells using the ancient language of dragons.<h5><b>Prerequisites: </b>Arcane caster level 5th, speaks Draconic.</h5><h5><b>Benefit: </b>You gain a +1 bonus on caster level checks to overcome spell resistance when casting arcane spells that have a verbal component. If you speak Draconic when casting an arcane language-dependent spell, all intelligent creatures with a language can understand your words.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
1172,Improved Learn Ranger Trap,General,Your skill with traps is extensive.,"Learn Ranger Trap, Survival 8 ranks.",Learn Ranger Trap,You learn one additional ranger trap and can now use both extraordinary and supernatural versions of any ranger traps you know.,,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Improved Learn Ranger Trap</p><div style=""clear: both;""></div></div><div><h5>Your skill with traps is extensive.<h5><b>Prerequisites: </b>Learn Ranger Trap, Survival 8 ranks.</h5><h5><b>Benefit: </b>You learn one additional ranger trap and can now use both extraordinary and supernatural versions of any ranger traps you know.</h5></div>",0,0,0,0,0,0,0,,,,,0,,Survival 8,0,0,0,0,0,0,0
1173,Kobold Confidence,General,"Your cunning, confidence, or faith in the draconic power in your blood allows you to overcome your physical frailty.","Charisma 13, kobold.",,"You use your Charisma, Intelligence, or Wisdom in place of Constitution to determine your bonus to Fortitude saves and your maximum negative hit points before death. Once this choice has been made, it can't be changed.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Kobold Confidence</p><div style=""clear: both;""></div></div><div><h5>Your cunning, confidence, or faith in the draconic power in your blood allows you to overcome your physical frailty.<h5><b>Prerequisites: </b>Charisma 13, kobold.</h5><h5><b>Benefit: </b>You use your Charisma, Intelligence, or Wisdom in place of Constitution to determine your bonus to Fortitude saves and your maximum negative hit points before death. Once this choice has been made, it can't be changed.</h5></div>",0,0,0,0,0,1,0,kobold,,,,0,,,0,0,0,0,0,0,0
1175,Merciless Magic,General,Your spellcasting is strongest against those in peril.,"Ability to cast spells, kobold.",,"The DC to resist your spells increases by 1 for targets that are already aff licted with any of the following conditions: blinded, dying, entangled, exhausted, frightened, helpless, nauseated, panicked, paralyzed, or stunned.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Merciless Magic</p><div style=""clear: both;""></div></div><div><h5>Your spellcasting is strongest against those in peril.<h5><b>Prerequisites: </b>Ability to cast spells, kobold.</h5><h5><b>Benefit: </b>The DC to resist your spells increases by 1 for targets that are already aff licted with any of the following conditions: blinded, dying, entangled, exhausted, frightened, helpless, nauseated, panicked, paralyzed, or stunned.</h5></div>",0,0,0,0,0,1,0,kobold,,,,0,,,0,0,0,0,0,0,0
1176,Merciless Precision,General,You delight and excel in bringing down hobbled targets.,"Sneak attack class feature, kobold.",,"Your sneak attack damage increases by 1d6 against targets that are already aff licted with any of the following conditions: blinded, dying, entangled, exhausted, frightened, helpless, nauseated, panicked, paralyzed, or stunned.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Merciless Precision</p><div style=""clear: both;""></div></div><div><h5>You delight and excel in bringing down hobbled targets.<h5><b>Prerequisites: </b>Sneak attack class feature, kobold.</h5><h5><b>Benefit: </b>Your sneak attack damage increases by 1d6 against targets that are already aff licted with any of the following conditions: blinded, dying, entangled, exhausted, frightened, helpless, nauseated, panicked, paralyzed, or stunned.</h5></div>",0,0,0,0,0,1,0,kobold,,,,0,,,0,0,0,0,0,0,0
1177,Mixed Scales,General,"You have two colors of scales, which mark you as special.","Draconic AspectARG or dragon-scaled racial traitARG, kobold.",Draconic Aspect,"Choose an additional color for your Draconic Aspect feat or dragon-scaled racial trait. You gain the benefits of both this color and the color you originally chose. (If you have both Draconic Aspect and dragon-scaled, this benefit applies to both.) If you gain abilities that rely on scale color, choose which color gains the benefits.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Mixed Scales</p><div style=""clear: both;""></div></div><div><h5>You have two colors of scales, which mark you as special.<h5><b>Prerequisites: </b>Draconic Aspect<sup>ARG</sup> or dragon-scaled racial trait<sup>ARG</sup>, kobold.</h5><h5><b>Benefit: </b>Choose an additional color for your Draconic Aspect feat or dragon-scaled racial trait. You gain the benefits of both this color and the color you originally chose. (If you have both Draconic Aspect and dragon-scaled, this benefit applies to both.) If you gain abilities that rely on scale color, choose which color gains the benefits.</h5></div>",0,0,0,0,0,1,0,kobold,,,,0,,,0,0,0,0,0,0,0
1178,Redeemed Kobold,General,The purity you have found in the teachings of good dragonkind colors your scales and grants you confidence.,"Good alignment, kobold.",,"Your scales take on a metallic sheen appropriate for that of a good-aligned metallic dragon who shares any existing energy affinity you possess, or whom you have chosen to emulate. You gain a +2 circumstance bonus on Diplomacy checks when interacting with good creatures. In addition, your Charisma is considered 2 points higher for the purposes of channeling positive energy.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Redeemed Kobold</p><div style=""clear: both;""></div></div><div><h5>The purity you have found in the teachings of good dragonkind colors your scales and grants you confidence.<h5><b>Prerequisites: </b>Good alignment, kobold.</h5><h5><b>Benefit: </b>Your scales take on a metallic sheen appropriate for that of a good-aligned metallic dragon who shares any existing energy affinity you possess, or whom you have chosen to emulate. You gain a +2 circumstance bonus on Diplomacy checks when interacting with good creatures. In addition, your Charisma is considered 2 points higher for the purposes of channeling positive energy.</h5></div>",0,0,0,0,0,1,0,kobold,,,,0,,,0,0,0,0,0,0,0
1179,Scaled Disciple,General,Your draconic heritage manifests as divine power.,"Ability to spontaneously cast divine spells, kobold.",,"You gain a +1 bonus to your caster level when casting spells included in the dragon domain or subdomains. Your spontaneous divine spellcasting qualifies in place of arcane casting for the dragon disciple prestige class, and you may increase spellcasting in your spontaneous divine class as you progress in dragon disciple levels. Add the bonus spells gained from the blood of dragons ability to those you can cast as divine spells.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Scaled Disciple</p><div style=""clear: both;""></div></div><div><h5>Your draconic heritage manifests as divine power.<h5><b>Prerequisites: </b>Ability to spontaneously cast divine spells, kobold.</h5><h5><b>Benefit: </b>You gain a +1 bonus to your caster level when casting spells included in the dragon domain or subdomains. Your spontaneous divine spellcasting qualifies in place of arcane casting for the dragon disciple prestige class, and you may increase spellcasting in your spontaneous divine class as you progress in dragon disciple levels. Add the bonus spells gained from the blood of dragons ability to those you can cast as divine spells.</h5></div>",0,0,0,0,0,1,0,kobold,,,,0,,,0,0,0,0,0,0,0
1180,Small But Deadly,General,"You have learned to make the most of certain weapons, despite your physical weakness.","Weapon Focus or natural weapon, Small size or smaller.",,You ignore your Strength penalty to damage when making attacks with your racial natural weapons and weapons for which you have the Weapon Focus feat.,,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Small But Deadly</p><div style=""clear: both;""></div></div><div><h5>You have learned to make the most of certain weapons, despite your physical weakness.<h5><b>Prerequisites: </b>Weapon Focus or natural weapon, Small size or smaller.</h5><h5><b>Benefit: </b>You ignore your Strength penalty to damage when making attacks with your racial natural weapons and weapons for which you have the Weapon Focus feat.</h5></div>",0,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
1181,Kobold Flood,Combat,You are an expert at keeping creatures on the ground.,"Combat Expertise, Kobold Groundling, Kobold Style, Small size or smaller.","Combat Expertise, Kobold Groundling, Kobold Style","You can make a grapple combat maneuver check to mount a prone Medium or Large foe. If you're successful, you move into the target's square and are considered to be on top of the target. For the target to stand, it must succeed at a combat maneuver check to break your grapple.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Kobold Flood (Combat, Style)</p><div style=""clear: both;""></div></div><div><h5>You are an expert at keeping creatures on the ground.<h5><b>Prerequisites: </b>Combat Expertise, Kobold Groundling, Kobold Style, Small size or smaller.</h5><h5><b>Benefit: </b>You can make a grapple combat maneuver check to mount a prone Medium or Large foe. If you're successful, you move into the target's square and are considered to be on top of the target. For the target to stand, it must succeed at a combat maneuver check to break your grapple.</h5></div>",0,0,0,1,0,0,0,,,,,0,,,0,0,0,0,0,0,0
1182,Kobold Groundling,Combat,Your small size grants you superiority over grounded foes.,"Combat Expertise, Kobold Style, Small size or smaller.","Combat Expertise, Kobold Style",Prone creatures are denied their Dexterity bonus to AC against your attacks.,,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Kobold Groundling (Combat, Style)</p><div style=""clear: both;""></div></div><div><h5>Your small size grants you superiority over grounded foes.<h5><b>Prerequisites: </b>Combat Expertise, Kobold Style, Small size or smaller.</h5><h5><b>Benefit: </b>Prone creatures are denied their Dexterity bonus to AC against your attacks.</h5></div>",0,0,0,1,0,0,0,,,,,0,,,0,0,0,0,0,0,0
1183,Kobold Style,Combat,You're able to manipulate foes that are caught off guard.,"Combat Expertise, Small size or smaller.",Combat Expertise,You gain a +4 bonus on combat maneuver checks against enemies denied their Dexterity bonus to AC.,,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Kobold Style (Combat, Style)</p><div style=""clear: both;""></div></div><div><h5>You're able to manipulate foes that are caught off guard.<h5><b>Prerequisites: </b>Combat Expertise, Small size or smaller.</h5><h5><b>Benefit: </b>You gain a +4 bonus on combat maneuver checks against enemies denied their Dexterity bonus to AC.</h5></div>",0,0,0,1,0,0,0,,,,,0,,,0,0,0,0,0,0,0
1184,Tribe Mentality,General,You and your tribemates grant each other mental strength.,,,"When you're simultaneously subject to the same enchantment (compulsion) or [emotion] effect as another ally with this feat, you both roll saves but can use either result.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tribe Mentality (Teamwork)</p><div style=""clear: both;""></div></div><div><h5>You and your tribemates grant each other mental strength.<h5><b>Benefit: </b>When you're simultaneously subject to the same enchantment (compulsion) or [emotion] effect as another ally with this feat, you both roll saves but can use either result.</h5></div>",1,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
1185,Wall Offlesh,General,"You swarm with your allies, becoming a wall of creatures.",Small size or smaller.,,"When adjacent to an ally with this feat, you're considered one size category larger for determining CMD and the way combat maneuvers and abilities affect you.",,,Kobolds Of Golarion,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Wall Offlesh (Teamwork)</p><div style=""clear: both;""></div></div><div><h5>You swarm with your allies, becoming a wall of creatures.<h5><b>Prerequisites: </b>Small size or smaller.</h5><h5><b>Benefit: </b>When adjacent to an ally with this feat, you're considered one size category larger for determining CMD and the way combat maneuvers and abilities affect you.</h5></div>",1,0,0,0,0,0,0,,,,,0,,,0,0,0,0,0,0,0
1186,Apotheosis,Story,"You are marked by fate as a future deity-even before this destiny is realized, fate bends to your will.","You must have had direct contact with a deity or godlike being, or have been risen from the dead at the personal behest of a deity or godlike being.",,"You gain a +2 bonus on Constitution checks to stabilize while dying. Anytime you or an ally who worships the god that contacted you casts augury or a similar effect, your chance of receiving a meaningful reply is increased by 5% (to a maximum of 95%).",,,Quests and Campaigns,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Apotheosis (Story)</p><div style=""clear: both;""></div></div><div><h5>You are marked by fate as a future deity-even before this destiny is realized, fate bends to your will.<h5><b>Prerequisites: </b>You must have had direct contact with a deity or godlike being, or have been risen from the dead at the personal behest of a deity or godlike being.</h5><h5><b>Benefit: </b>You gain a +2 bonus on Constitution checks to stabilize while dying. Anytime you or an ally who worships the god that contacted you casts <i>augury</i> or a similar effect, your chance of receiving a meaningful reply is increased by 5% (to a maximum of 95%).</h5><h5><b>Goal: </b>You must be acknowledged by another divine being (directly or through a representative) as a peer, even if only a minor one.</h5><h5><b>Completion Benefit: </b>Once per day as an immediate action, you can cause any die roll made by a creature within 100 feet of you to be rerolled. You choose which result you prefer. You must decide to use this ability after the first roll is made but before the results are revealed by the GM.</h5><h5><b>Suggested Traits: </b>Called, Fortunate, Inspiring.</h5></div>",0,0,0,0,0,0,0,,,"You must be acknowledged by another divine being (directly or through a representative) as a peer, even if only a minor one.","Once per day as an immediate action, you can cause any die roll made by a creature within 100 feet of you to be rerolled. You choose which result you prefer. You must decide to use this ability after the first roll is made but before the results are revealed by the GM.",0,"Called, Fortunate, Inspiring.",,0,0,0,0,0,0,0
1187,Artifact Hunter,Story,You seek an artifact-either a specific one or merely any item of legendary prowess-with dogged tenacity.,You must have come within sight of a legendary artifact at some point in your past.,,"You gain a +2 bonus on Use Magic Device checks when emulating a class feature, ability score, race, or alignment. If you have 10 or more ranks in Use Magic Device, this bonus increases to +4. In addition, once per day, instead of attempting a Use Magic Device check normally, you can choose to determine the result as if you had rolled a 15. If you have 10 or more ranks in Use Magic Device, you can use this ability twice per day.",,,Quests and Campaigns,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Artifact Hunter (Story)</p><div style=""clear: both;""></div></div><div><h5>You seek an artifact-either a specific one or merely any item of legendary prowess-with dogged tenacity.<h5><b>Prerequisites: </b>You must have come within sight of a legendary artifact at some point in your past.</h5><h5><b>Benefit: </b>You gain a +2 bonus on Use Magic Device checks when emulating a class feature, ability score, race, or alignment. If you have 10 or more ranks in Use Magic Device, this bonus increases to +4. In addition, once per day, instead of attempting a Use Magic Device check normally, you can choose to determine the result as if you had rolled a 15. If you have 10 or more ranks in Use Magic Device, you can use this ability twice per day.</h5><h5><b>Goal: </b>Claim ownership of an artifact.</h5><h5><b>Completion Benefit: </b>You learn how to coax the most out of your magic items. Three times per day when you activate a use-activated or command word magic item, you can increase the item's effective caster level by +2 as a free action. You can use this ability once per round.</h5><h5><b>Suggested Traits: </b>Dangerously Curious<sup>APG</sup>, Fortunate, Secret-Keeper.</h5></div>",0,0,0,0,0,0,0,,,Claim ownership of an artifact.,"You learn how to coax the most out of your magic items. Three times per day when you activate a use-activated or command word magic item, you can increase the item's effective caster level by +2 as a free action. You can use this ability once per round.",0,"Dangerously CuriousAPG, Fortunate, Secret-Keeper.",,0,0,0,0,0,0,0
1188,Blessed,Story,The repeated notice and boons of celestials have marked you as one of their chosen agents.,"You must have had friendly contact with a good outsider that would qualify as a challenging foe, be a sorcerer with the celestial bloodline, or have direct celestial ancestry (such as by being an aasimar).",,You gain a +2 bonus on Charisma-based checks involving good-aligned outsiders and a +1 bonus to the DC of spells and spell-like abilities you use against such creatures. You take a -2 penalty on Charisma-based checks involving evil-aligned outsiders.,,,Quests and Campaigns,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Blessed (Story)</p><div style=""clear: both;""></div></div><div><h5>The repeated notice and boons of celestials have marked you as one of their chosen agents.<h5><b>Prerequisites: </b>You must have had friendly contact with a good outsider that would qualify as a challenging foe, be a sorcerer with the celestial bloodline, or have direct celestial ancestry (such as by being an aasimar).</h5><h5><b>Benefit: </b>You gain a +2 bonus on Charisma-based checks involving good-aligned outsiders and a +1 bonus to the DC of spells and spell-like abilities you use against such creatures. You take a -2 penalty on Charisma-based checks involving evil-aligned outsiders.</h5><h5><b>Goal: </b>Thwart or decisively defeat an evil creature that qualifies as a challenging foe, but show mercy and then convert that creature toward good.</h5><h5><b>Completion Benefit: </b>You gain the benefit of <i>protection from evil</i> as a constant spell-like ability. In addition, you gain a +2 bonus on caster level checks against evil-aligned outsiders.</h5><h5><b>Suggested Traits: </b>Indomitable Faith<sup>APG</sup>, Inspiring, Memorable.</h5></div>",0,0,0,0,0,0,0,,,"Thwart or decisively defeat an evil creature that qualifies as a challenging foe, but show mercy and then convert that creature toward good.","You gain the benefit of protection from evil as a constant spell-like ability. In addition, you gain a +2 bonus on caster level checks against evil-aligned outsiders.",0,"Indomitable FaithAPG, Inspiring, Memorable.",,0,0,0,0,0,0,0
